Session Code,Sport,Venue,Zone,Date,Games Day,Session Type,Event,Start Time,End Time,Is in LA Area,Is Women's Event 🎉
ARC05,Archery,Carson Stadium,Carson,"Saturday, July 22",8,Preliminary,Recurve Women's Individual 1/16 Elimination Round,20:00,22:35,TRUE,TRUE
ARC06,Archery,Carson Stadium,Carson,"Sunday, July 23",9,Preliminary,Recurve Men's Individual 1/32 Elimination Round,9:30,12:35,TRUE,FALSE
ARC06,Archery,Carson Stadium,Carson,"Sunday, July 23",9,Preliminary,Recurve Women's Individual 1/32 Elimination Round,9:30,12:35,TRUE,TRUE
ARC06,Archery,Carson Stadium,Carson,"Sunday, July 23",9,Preliminary,Recurve Men's Individual 1/16 Elimination Round,9:30,12:35,TRUE,FALSE
ARC06,Archery,Carson Stadium,Carson,"Sunday, July 23",9,Preliminary,Recurve Women's Individual 1/16 Elimination Round,9:30,12:35,TRUE,TRUE
ARC07,Archery,Carson Stadium,Carson,"Sunday, July 23",9,Preliminary,Recurve Men's Individual 1/32 Elimination Round,20:00,22:35,TRUE,FALSE
ARC07,Archery,Carson Stadium,Carson,"Sunday, July 23",9,Preliminary,Recurve Women's Individual 1/32 Elimination Round,20:00,22:35,TRUE,TRUE
ARC07,Archery,Carson Stadium,Carson,"Sunday, July 23",9,Preliminary,Recurve Men's Individual 1/16 Elimination Round,20:00,22:35,TRUE,FALSE
ARC07,Archery,Carson Stadium,Carson,"Sunday, July 23",9,Preliminary,Recurve Women's Individual 1/16 Elimination Round,20:00,22:35,TRUE,TRUE
ARC08,Archery,Carson Stadium,Carson,"Monday, July 24",10,Preliminary,Recurve Women's Individual 1/32 Elimination Round,10:30,12:40,TRUE,TRUE
ARC08,Archery,Carson Stadium,Carson,"Monday, July 24",10,Preliminary,Recurve Women's Individual 1/16 Elimination Round,10:30,12:40,TRUE,TRUE
ARC09,Archery,Carson Stadium,Carson,"Monday, July 24",10,Final,Recurve Men's Team Quarterfinal,19:30,23:10,TRUE,FALSE
ARC09,Archery,Carson Stadium,Carson,"Monday, July 24",10,Final,Recurve Men's Team Semifinal,19:30,23:10,TRUE,FALSE
ARC09,Archery,Carson Stadium,Carson,"Monday, July 24",10,Final,Recurve Men's Team Bronze Medal Match,19:30,23:10,TRUE,FALSE
ARC09,Archery,Carson Stadium,Carson,"Monday, July 24",10,Final,Recurve Men's Team Gold Medal Match,19:30,23:10,TRUE,FALSE
ARC10,Archery,Carson Stadium,Carson,"Tuesday, July 25",11,Preliminary,Recurve Men's Individual 1/32 Elimination Round,10:30,12:40,TRUE,FALSE
ARC10,Archery,Carson Stadium,Carson,"Tuesday, July 25",11,Preliminary,Recurve Men's Individual 1/16 Elimination Round,10:30,12:40,TRUE,FALSE
ARC11,Archery,Carson Stadium,Carson,"Tuesday, July 25",11,Final,Recurve Women's Team Quarterfinal,19:30,23:10,TRUE,TRUE
ARC11,Archery,Carson Stadium,Carson,"Tuesday, July 25",11,Final,Recurve Women's Team Semifinal,19:30,23:10,TRUE,TRUE
ARC11,Archery,Carson Stadium,Carson,"Tuesday, July 25",11,Final,Recurve Women's Team Bronze Medal Match,19:30,23:10,TRUE,TRUE
ARC11,Archery,Carson Stadium,Carson,"Tuesday, July 25",11,Final,Recurve Women's Team Gold Medal Match,19:30,23:10,TRUE,TRUE
ARC12,Archery,Carson Stadium,Carson,"Wednesday, July 26",12,Preliminary,Recurve Mixed team 1/8 Elimination Round,10:30,13:05,TRUE,FALSE
ARC13,Archery,Carson Stadium,Carson,"Wednesday, July 26",12,Final,Recurve Mixed Team Quarterfinal,20:00,23:10,TRUE,FALSE
ARC13,Archery,Carson Stadium,Carson,"Wednesday, July 26",12,Final,Recurve Mixed Team Semifinal,20:00,23:10,TRUE,FALSE
ARC13,Archery,Carson Stadium,Carson,"Wednesday, July 26",12,Final,Recurve Mixed Team Bronze Medal Match,20:00,23:10,TRUE,FALSE
ARC13,Archery,Carson Stadium,Carson,"Wednesday, July 26",12,Final,Recurve Mixed Team Gold Medal Match,20:00,23:10,TRUE,FALSE
ARC14,Archery,Carson Stadium,Carson,"Thursday, July 27",13,Preliminary,Recurve Men's Individual 1/8 Elimination Round,10:30,12:15,TRUE,FALSE
ARC15,Archery,Carson Stadium,Carson,"Thursday, July 27",13,Final,Recurve Men's Individual Quarterfinal,20:30,22:50,TRUE,FALSE
ARC15,Archery,Carson Stadium,Carson,"Thursday, July 27",13,Final,Recurve Men's Individual Semifinal,20:30,22:50,TRUE,FALSE
